FIPS_Code,county_consumption
19001,162383.325
19003,35912.961
19005,323675.895
19007,286949.351
19009,72368.495
19011,283905.695
19013,5189994.09
19015,636550.246
19017,678292.697
19019,498385.835
19021,627253.389
19023,116846.475
19025,142585.58
19027,835852.771
19029,416750.742
19031,202617.305
19033,2116573.219
19035,281595.152
19037,160674.209
19039,213239.005
19041,605990.882
19043,240400.372
19045,1218189.126
19047,460231.006
19049,1484036.032
19051,41288.0
19053,59541.32
19055,333643.645
19057,1178176.1979999999
19059,1408393.733
19061,2856951.425
19063,249544.42
19065,466444.71
19067,416175.314
19069,181967.391
19071,7272.62
19073,155164.72699999998
19075,127962.27
19077,109692.815
19079,340001.16
19081,127344.5
19083,662105.077
19085,175646.428
19087,365739.125
19089,274023.297
19091,252586.1
19093,180077.577
19095,551488.764
19097,461028.395
19099,657670.0210000001
19101,283517.57
19103,5059271.057
19105,453689.63399999996
19107,61661.635
19109,630145.945
19111,1154378.485
19113,8219970.99
19115,86726.185
19117,136180.21
19119,246130.56399999998
19121,249803.03699999998
19123,341062.68200000003
19125,679212.474
19127,994719.69
19129,167321.889
19131,185476.92
19133,199157.495
19135,111859.65
19137,224957.553
19139,1047827.1379999999
19141,500483.214
19143,93864.095
19145,398701.05600000004
19147,250635.75
19149,561032.221
19151,150157.185
19153,18841990.108
19155,3176374.4020000002
19157,487757.434
19159,55654.33
19161,220742.112
19163,6199081.506
19165,258370.875
19167,533987.525
19169,2887899.8039999995
19171,237217.694
19173,42580.78
19175,351234.43
19177,66889.345
19179,882482.548
19181,777061.668
19183,460716.23600000003
19185,40367.402
19187,1092233.078
19189,279033.315
19191,484664.04
19193,3058848.478
19195,92051.5
19197,237545.905
